2025-06-10 07:54:49 | INFO   | binanceWebsocket.py::websocket_binance_price_listener() | Connecting to wss://fstream.binance.com/ws/solusdt@ticker
2025-06-10 07:54:51 | INFO   | binanceWebsocket.py::websocket_binance_price_listener() | ✅ Connected to Binance price listening websocket
2025-06-10 07:54:52 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:54:52 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513292776, 's': 'SOLUSDT', 'p': '8.7200', 'P': '5.723', 'w': '154.8062', 'c': '161.0800', 'Q': '0.20', 'o': '152.3600', 'h': '161.7000', 'l': '149.5000', 'v': '20922473.02', 'q': '3238929308.3125', 'O': 1749426840000, 'C': 1749513292770, 'F': 2379019991, 'L': 2381358615, 'n': 2338338}
2025-06-10 07:54:54 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:54:54 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513294715, 's': 'SOLUSDT', 'p': '8.6800', 'P': '5.697', 'w': '154.8068', 'c': '161.0400', 'Q': '0.10', 'o': '152.3600', 'h': '161.7000', 'l': '149.5000', 'v': '20924271.46', 'q': '3239218941.6906', 'O': 1749426840000, 'C': 1749513294710, 'F': 2379019991, 'L': 2381358706, 'n': 2338429}
2025-06-10 07:54:56 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:54:56 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513296774, 's': 'SOLUSDT', 'p': '8.7400', 'P': '5.736', 'w': '154.8070', 'c': '161.1000', 'Q': '0.05', 'o': '152.3600', 'h': '161.7000', 'l': '149.5000', 'v': '20924867.20', 'q': '3239314898.4929', 'O': 1749426840000, 'C': 1749513296769, 'F': 2379019991, 'L': 2381358801, 'n': 2338524}
2025-06-10 07:54:58 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:54:58 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513298612, 's': 'SOLUSDT', 'p': '8.6900', 'P': '5.704', 'w': '154.8071', 'c': '161.0500', 'Q': '8.46', 'o': '152.3600', 'h': '161.7000', 'l': '149.5000', 'v': '20925255.63', 'q': '3239377466.5611', 'O': 1749426840000, 'C': 1749513298607, 'F': 2379019991, 'L': 2381358846, 'n': 2338569}
2025-06-10 07:55:00 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:55:00 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513300774, 's': 'SOLUSDT', 'p': '8.7800', 'P': '5.765', 'w': '154.8077', 'c': '161.0700', 'Q': '0.07', 'o': '152.2900', 'h': '161.7000', 'l': '149.5000', 'v': '20921506.37', 'q': '3238809569.9600', 'O': 1749426900000, 'C': 1749513300769, 'F': 2379020632, 'L': 2381358895, 'n': 2337977}
2025-06-10 07:55:02 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:55:02 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513302795, 's': 'SOLUSDT', 'p': '8.7800', 'P': '5.765', 'w': '154.8078', 'c': '161.0700', 'Q': '0.05', 'o': '152.2900', 'h': '161.7000', 'l': '149.5000', 'v': '20921840.85', 'q': '3238863444.8361', 'O': 1749426900000, 'C': 1749513302790, 'F': 2379020632, 'L': 2381358927, 'n': 2338009}
2025-06-10 07:55:05 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
2025-06-10 07:55:05 | INFO   | main.py::main()                       | 😱 Received new Binance event! Event: {'e': '24hrTicker', 'E': 1749513304458, 's': 'SOLUSDT', 'p': '8.8300', 'P': '5.798', 'w': '154.8078', 'c': '161.1200', 'Q': '0.56', 'o': '152.2900', 'h': '161.7000', 'l': '149.5000', 'v': '20921948.40', 'q': '3238880770.8660', 'O': 1749426900000, 'C': 1749513304454, 'F': 2379020632, 'L': 2381359000, 'n': 2338082}
2025-06-10 07:55:07 | INFO   | main.py::main()                       | 🔴 Awaiting next event in queue from Binance event websocket...
